measurementpoint.flowvalue,measurementpoint.speedvalue,measurementpoint.ninputs,measurementpoint.sdeviation,measurementpoint.measurementdatetime,measurementpoint.reference
2580.0,105.33333333333333,0.0,,2019-11-17 19:58:00,RWS01_MONIBAS_0021hrr0597ra
2400.0,101.0,0.0,,2019-11-17 20:03:00,RWS01_MONIBAS_0021hrr0597ra
1920.0,108.33333333333333,0.0,,2019-11-17 20:09:00,RWS01_MONIBAS_0021hrr0597ra
1800.0,109.0,0.0,,2019-11-17 20:15:00,RWS01_MONIBAS_0021hrr0597ra
1800.0,104.0,0.0,,2019-11-17 20:21:00,RWS01_MONIBAS_0021hrr0597ra
1920.0,104.66666666666667,0.0,,2019-11-17 20:27:00,RWS01_MONIBAS_0021hrr0597ra
1680.0,105.5,0.0,,2019-11-17 20:33:00,RWS01_MONIBAS_0021hrr0597ra
1860.0,103.66666666666667,0.0,,2019-11-17 20:38:00,RWS01_MONIBAS_0021hrr0597ra
1680.0,108.66666666666667,0.0,,2019-11-17 20:44:00,RWS01_MONIBAS_0021hrr0597ra
1680.0,116.66666666666667,0.0,,2019-11-17 20:50:00,RWS01_MONIBAS_0021hrr0597ra
1980.0,110.66666666666667,0.0,,2019-11-17 20:56:00,RWS01_MONIBAS_0021hrr0597ra
2580.0,109.0,0.0,,2019-11-17 21:02:00,RWS01_MONIBAS_0021hrr0597ra
1680.0,106.33333333333333,0.0,,2019-11-17 21:07:00,RWS01_MONIBAS_0021hrr0597ra
1140.0,112.33333333333333,0.0,,2019-11-17 21:13:00,RWS01_MONIBAS_0021hrr0597ra
960.0,119.0,0.0,,2019-11-17 21:19:00,RWS01_MONIBAS_0021hrr0597ra
600.0,113.0,0.0,,2019-11-17 21:25:00,RWS01_MONIBAS_0021hrr0597ra
1020.0,130.33333333333334,0.0,,2019-11-17 21:31:00,RWS01_MONIBAS_0021hrr0597ra
1500.0,102.0,0.0,,2019-11-17 21:37:00,RWS01_MONIBAS_0021hrr0597ra
420.0,104.0,0.0,,2019-11-17 21:42:00,RWS01_MONIBAS_0021hrr0597ra
1200.0,105.33333333333333,0.0,,2019-11-17 21:48:00,RWS01_MONIBAS_0021hrr0597ra
1020.0,105.0,0.0,,2019-11-17 21:54:00,RWS01_MONIBAS_0021hrr0597ra
600.0,106.5,0.0,,2019-11-17 22:00:00,RWS01_MONIBAS_0021hrr0597ra
600.0,109.33333333333333,0.0,,2019-11-17 22:06:00,RWS01_MONIBAS_0021hrr0597ra
1140.0,106.0,0.0,,2019-11-17 22:11:00,RWS01_MONIBAS_0021hrr0597ra
